CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category
768805383,Existing Customer,45,M,3,High School,Married,$60K - $80K
818770008,Existing Customer,49,F,5,Graduate,Single,Less than $40K
713982108,Existing Customer,51,M,3,Graduate,Married,$80K - $120K
769911858,Existing Customer,40,F,4,High School,Unknown,Less than $40K
709106358,Existing Customer,40,M,3,Uneducated,Married,$60K - $80K
713061558,Existing Customer,44,M,2,Graduate,Married,$40K - $60K
810347208,Existing Customer,51,M,4,Unknown,Married,$120K +
818906208,Existing Customer,32,M,0,High School,Unknown,$60K - $80K
710930508,Existing Customer,37,M,3,Uneducated,Single,$60K - $80K
719661558,Existing Customer,48,M,2,Graduate,Single,$80K - $120K
708790833,Existing Customer,42,M,5,Uneducated,Unknown,$120K +
710821833,Existing Customer,65,M,1,Unknown,Married,$40K - $60K
710599683,Existing Customer,56,M,1,College,Single,$80K - $120K
816082233,Existing Customer,35,M,3,Graduate,Unknown,$60K - $80K
712396908,Existing Customer,57,F,2,Graduate,Married,Less than $40K
714885258,Existing Customer,44,M,4,Unknown,Unknown,$80K - $120K
709967358,Existing Customer,48,M,4,Post-Graduate,Single,$80K - $120K
753327333,Existing Customer,41,M,3,Unknown,Married,$80K - $120K
806160108,Existing Customer,61,M,1,High School,Married,$40K - $60K
709327383,Existing Customer,45,F,2,Graduate,Married,Unknown
806165208,Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K
708508758,Attrited Customer,62,F,0,Graduate,Married,Less than $40K
784725333,Existing Customer,41,M,3,High School,Married,$40K - $60K
811604133,Existing Customer,47,F,4,Unknown,Single,Less than $40K
789124683,Existing Customer,54,M,2,Unknown,Married,$80K - $120K
771071958,Existing Customer,41,F,3,Graduate,Single,Less than $40K
720466383,Existing Customer,59,M,1,High School,Unknown,$40K - $60K
804424383,Existing Customer,63,M,1,Unknown,Married,$60K - $80K
718813833,Existing Customer,44,F,3,Uneducated,Single,Unknown
806624208,Existing Customer,47,M,4,High School,Married,$40K - $60K
778348233,Existing Customer,53,M,3,Unknown,Married,$80K - $120K
712991808,Existing Customer,53,M,2,Uneducated,Married,$60K - $80K
709029408,Existing Customer,41,M,4,Graduate,Married,$60K - $80K
788658483,Existing Customer,53,F,2,College,Married,Less than $40K
787937058,Existing Customer,58,M,0,Graduate,Married,$80K - $120K
715318008,Existing Customer,55,F,1,College,Single,Less than $40K
713962233,Existing Customer,55,F,3,Graduate,Married,Less than $40K
785432733,Existing Customer,42,F,4,High School,Married,Less than $40K
715190283,Existing Customer,57,F,1,Graduate,Unknown,$40K - $60K
708300483,Attrited Customer,66,F,0,Doctorate,Married,Unknown
827111283,Existing Customer,45,M,3,Graduate,Single,$80K - $120K
758551608,Existing Customer,51,M,2,Unknown,Married,$40K - $60K
773146383,Existing Customer,50,F,1,College,Single,$40K - $60K
778493808,Existing Customer,49,M,3,High School,Married,$60K - $80K
720572508,Existing Customer,38,F,4,Graduate,Single,Unknown
712661433,Existing Customer,49,M,4,Uneducated,Single,$80K - $120K
789172683,Existing Customer,56,M,2,Doctorate,Married,$60K - $80K
738406533,Existing Customer,59,M,1,Doctorate,Married,$40K - $60K
799723908,Existing Customer,46,M,3,High School,Married,$80K - $120K
771490833,Existing Customer,52,M,1,College,Single,$80K - $120K
720756708,Existing Customer,52,F,3,Unknown,Married,Less than $40K
779471883,Attrited Customer,54,F,1,Graduate,Married,Less than $40K
711525033,Existing Customer,66,F,0,High School,Married,Less than $40K
712813458,Existing Customer,49,M,2,Unknown,Married,$120K +
714374133,Attrited Customer,56,M,2,Graduate,Married,$120K +
717891558,Existing Customer,49,F,4,Graduate,Unknown,Less than $40K
716632758,Existing Customer,49,F,3,Graduate,Single,Less than $40K
768563658,Existing Customer,56,M,2,Uneducated,Married,$40K - $60K
711427458,Existing Customer,44,F,5,Graduate,Married,Unknown
714091983,Existing Customer,42,M,2,High School,Single,$60K - $80K
787584108,Existing Customer,55,M,3,Unknown,Married,$80K - $120K
712030833,Attrited Customer,48,M,2,Graduate,Married,$60K - $80K
711481533,Existing Customer,39,M,1,High School,Divorced,$60K - $80K
710082708,Existing Customer,44,M,4,Post-Graduate,Single,$120K +
708155733,Existing Customer,53,M,2,High School,Single,$120K +
788979258,Existing Customer,51,M,4,Uneducated,Single,$80K - $120K
807986133,Existing Customer,57,M,2,College,Married,$60K - $80K
788730933,Existing Customer,44,F,2,Uneducated,Single,Less than $40K
711314058,Existing Customer,49,M,2,Graduate,Married,$60K - $80K
717975333,Existing Customer,50,M,2,Doctorate,Married,$80K - $120K
715971108,Existing Customer,51,M,4,Graduate,Single,$120K +
720096558,Existing Customer,55,F,2,Graduate,Married,Less than $40K
719580033,Existing Customer,54,M,1,Graduate,Unknown,$60K - $80K
820582308,Existing Customer,42,M,5,Uneducated,Married,$80K - $120K
789973308,Existing Customer,44,M,1,College,Single,$60K - $80K
712876233,Existing Customer,53,M,2,Graduate,Single,$80K - $120K
804595158,Existing Customer,44,F,4,Graduate,Single,Less than $40K
714826758,Existing Customer,37,F,3,Uneducated,Single,Less than $40K
779058108,Existing Customer,49,M,3,Graduate,Divorced,$60K - $80K
710790258,Existing Customer,47,M,2,Graduate,Married,$80K - $120K
715623483,Existing Customer,47,M,3,Graduate,Married,$60K - $80K
715156383,Existing Customer,44,M,1,Unknown,Unknown,$120K +
711013983,Attrited Customer,55,F,4,Unknown,Married,$40K - $60K
755420433,Existing Customer,59,F,1,Graduate,Married,Unknown
794543958,Existing Customer,53,M,1,Graduate,Divorced,$80K - $120K
716396358,Existing Customer,52,M,2,Graduate,Married,$60K - $80K
715398033,Existing Customer,53,M,2,High School,Single,$120K +
711743883,Existing Customer,43,F,3,Uneducated,Single,Less than $40K
719720058,Existing Customer,44,M,3,High School,Single,$60K - $80K
778992108,Existing Customer,57,M,2,Unknown,Married,$120K +
717539808,Existing Customer,51,F,2,High School,Single,Less than $40K
714070758,Existing Customer,49,M,4,High School,Single,$80K - $120K
714107958,Existing Customer,45,M,1,Graduate,Single,$40K - $60K
789140283,Existing Customer,53,M,0,Graduate,Single,$80K - $120K
715550508,Existing Customer,45,F,3,Unknown,Married,Unknown
719712633,Existing Customer,64,M,1,Graduate,Married,Less than $40K
772629333,Existing Customer,45,M,3,Graduate,Married,$40K - $60K
720336708,Existing Customer,53,M,3,Doctorate,Married,$40K - $60K
802013583,Existing Customer,56,M,3,College,Married,$120K +
711887583,Attrited Customer,47,M,2,Unknown,Married,$80K - $120K
714778833,Existing Customer,49,F,3,College,Single,Unknown
713843283,Existing Customer,41,F,3,Unknown,Married,Unknown
779155158,Existing Customer,53,M,3,Graduate,Married,$120K +
721091583,Existing Customer,44,F,2,Graduate,Single,Less than $40K
713572683,Existing Customer,44,M,3,High School,Unknown,$60K - $80K
716657058,Existing Customer,43,F,4,Post-Graduate,Married,Less than $40K
779509983,Existing Customer,53,M,2,Post-Graduate,Single,$120K +
717929133,Existing Customer,44,M,1,Uneducated,Married,$60K - $80K
808284783,Existing Customer,62,F,1,Unknown,Married,Less than $40K
708476808,Existing Customer,54,M,4,Unknown,Divorced,$120K +
710916408,Existing Customer,57,M,4,Graduate,Married,$60K - $80K
708492558,Existing Customer,42,M,3,Unknown,Married,$60K - $80K
799825758,Existing Customer,42,M,4,High School,Divorced,$60K - $80K
718619883,Existing Customer,54,F,0,Uneducated,Married,Less than $40K
711844758,Existing Customer,48,M,3,Graduate,Single,$80K - $120K
714798783,Existing Customer,49,M,1,Graduate,Single,$80K - $120K
826762908,Existing Customer,52,M,3,High School,Unknown,$80K - $120K
771894558,Existing Customer,50,M,3,High School,Single,$80K - $120K
